,Artist Birth Country,Year Artwork 'Completed'
49483,North America,1979
49484,North America,1979
49485,North America,1979
49486,North America,1979
49487,North America,1979
49488,North America,1979
49489,North America,1979
49490,North America,1979
49491,North America,1979
49492,North America,1979
49493,North America,1979
49494,North America,1979
49495,North America,1979
49496,North America,1979
49497,North America,1979
49498,North America,1979
49499,North America,1960
49500,North America,1960
49501,North America,1960
49502,North America,1960
49503,North America,1960
49504,North America,1960
49505,North America,1963
49520,North America,1952
49521,North America,1976
49522,North America,1967
49523,North America,1973
49526,North America,1982
49527,North America,1982
49528,North America,1982
49529,North America,1982
49530,North America,1982
49531,North America,1982
49532,North America,1982
49533,North America,1982
49534,North America,1982
49535,North America,1982
49536,North America,1982
49537,North America,1982
49538,North America,1982
49539,North America,1982
49540,North America,1982
49541,North America,1982
49542,North America,1982
49543,North America,1982
49544,North America,1982
49545,North America,1982
49546,North America,1982
49547,North America,1982
49548,North America,1982
49549,North America,1982
49550,North America,1964
49560,North America,1985
49561,North America,1986
49562,North America,1986
49563,North America,1987
49564,North America,1987
49565,North America,1987
49566,North America,1989
49571,North America,1961
49582,North America,1988
49583,North America,1988
49584,North America,1988
49585,North America,1988
49586,North America,1988
49587,North America,1988
49588,North America,1988
49589,North America,1988
49590,North America,1988
49591,North America,1988
49632,North America,1991
49633,North America,1991
49634,North America,1991
49635,North America,1991
49636,North America,1952
49637,Oceania,1965
49638,Oceania,1965
49639,Oceania,1965
49640,Oceania,1965
49661,North America,1971
49665,North America,1972
49666,North America,1965
49667,North America,1971
49676,North America,1973
49677,Asia,1992
49678,Asia,1992
49679,Asia,1992
49680,Asia,1992
49681,Asia,1992
49682,North America,1971
49683,North America,1971
49684,North America,1971
49685,North America,1971
49686,North America,1971
49687,North America,1971
49688,North America,1971
49689,North America,1971
49700,Asia,1990
49701,Asia,1993
49702,Asia,1993
49703,Asia,1993
49704,Asia,1993
49705,North America,1970
49706,North America,1970
49707,North America,1970
49708,North America,1970
49709,North America,1970
49804,North America,1982
49805,North America,1982
49806,North America,1982
49807,North America,1982
49808,North America,1969
49809,North America,1967
49845,North America,1985
49846,North America,1985
49847,North America,1986
49848,North America,1986
49849,North America,1986
49850,North America,1986
49851,North America,1986
49852,North America,1986
49853,North America,1986
49854,North America,1986
49855,North America,1986
49856,North America,1986
49857,North America,1987
49858,North America,1987
49859,North America,1988
49860,North America,1988
49861,North America,1988
49862,North America,1988
49863,North America,1988
49864,North America,1988
49865,North America,1988
49866,North America,1989
49867,North America,1992
49868,Oceania,1962
49869,Oceania,1963
49870,Oceania,1975
49871,North America,1994
49872,North America,1994
49873,North America,1964
49874,North America,1964
49875,North America,1964
49876,North America,1964
49877,North America,1964
49878,North America,1964
49879,North America,1964
49880,Asia,1964
49881,North America,1964
49882,North America,1964
49884,South America,1996
49885,South America,1996
49886,South America,1996
49887,South America,1996
49888,South America,1996
49889,South America,1996
49890,South America,1996
49891,South America,1996
49892,South America,1996
49893,South America,1996
49894,South America,1996
49895,South America,1996
49899,North America,1995
49900,North America,1995
49901,North America,1995
49902,North America,1995
49903,North America,1995
49904,North America,1995
49905,North America,1995
49906,North America,1995
49907,North America,1985
49908,North America,1986
49909,North America,1986
49910,North America,1986
49911,North America,1986
49912,North America,1986
49913,North America,1986
49914,North America,1986
49915,North America,1986
49916,North America,1986
49917,North America,1986
49918,North America,1986
49949,North America,1994
49950,North America,1994
49951,North America,1994
49952,North America,1994
49953,North America,1994
49954,North America,1994
49955,North America,1994
49956,North America,1994
49957,North America,1994
49958,North America,1994
49959,North America,1994
49960,North America,1994
49963,North America,1996
49964,North America,1996
49965,North America,1996
49966,North America,1996
49967,Asia,1995
49969,North America,1961
50042,North America,1996
50043,North America,1996
50080,,1996
50081,,1996
50082,,1996
50083,,1996
50084,,1996
50085,,1996
50086,,1996
50087,,1996
50088,,1996
50089,,1996
50100,North America,1980
50101,North America,1982
50102,North America,1984
50103,North America,1991
50104,North America,1992
50110,North America,1967
50111,North America,1967
50112,North America,1967
50113,North America,1967
50114,North America,1967
50115,North America,1967
50116,North America,1967
50117,North America,1967
50118,North America,1967
50119,North America,1967
50120,North America,1967
50121,North America,1967
50122,North America,1967
50137,North America,1997
50138,North America,1997
50139,North America,1997
50140,North America,1997
50141,North America,1997
50145,Oceania,1994
50146,Oceania,1994
50147,Oceania,1994
50148,Oceania,1994
50149,Oceania,1994
50150,Oceania,1994
50151,Oceania,1994
50152,Oceania,1994
50153,Oceania,1994
50154,Oceania,1997
50155,Oceania,1997
50156,Oceania,1997
50157,Oceania,1997
50158,Oceania,1997
50159,Oceania,1997
50160,Oceania,1997
50161,Oceania,1997
50162,Oceania,1997
50163,Oceania,1997
50164,Oceania,1997
50165,Oceania,1997
50166,Oceania,1997
50167,Oceania,1997
50168,Oceania,1997
50169,Oceania,1997
50170,Oceania,1997
50171,Oceania,1997
50172,Oceania,1997
50173,Oceania,1997
50174,Oceania,1997
50175,Oceania,1997
50176,Oceania,1997
50177,Oceania,1997
50178,Oceania,1997
50231,Asia,1998
50232,Asia,1998
50233,Asia,1998
50234,Asia,1998
50235,Asia,1998
50236,Asia,1998
50237,Asia,1998
50238,Asia,1998
50239,Asia,1998
50246,North America,1997
50247,Asia,1997
50248,Asia,1997
50249,Asia,1997
50250,Asia,1997
50251,Asia,1997
50266,Africa,1997
50267,North America,1990
50268,North America,1990
50269,North America,1990
50270,North America,1990
50280,North America,1998
50329,North America,1998
50344,Asia,1974
50345,Asia,1974
50346,Asia,1991
50347,Asia,1991
50348,Asia,1991
50399,North America,1976
50400,North America,1976
50401,North America,1976
50402,North America,1976
50403,North America,1976
50404,North America,1976
50405,North America,1967
50406,North America,1967
50407,North America,1967
50408,North America,1967
50409,North America,1967
50410,North America,1967
50411,North America,1967
50412,North America,1967
50416,Asia,2000
50419,North America,2000
50421,,1996
50423,North America,2000
50428,,2000
50433,North America,2000
50434,North America,2000
50435,North America,2000
50438,North America,1998
50439,North America,1998
50440,North America,1998
50441,North America,1998
50442,North America,1998
50443,North America,1998
50444,North America,1998
50445,North America,1998
50446,North America,1998
50460,North America,1999
50461,North America,1999
50462,North America,1999
50463,North America,1999
50464,North America,1999
50465,North America,1999
50466,North America,1999
50467,North America,1999
50509,,1973
50511,,1973
50513,,1973
50514,,1973
50515,,1973
50516,North America,1976
50517,North America,1976
50518,North America,1976
50519,North America,1976
50520,North America,1976
50521,North America,1976
50522,North America,1976
50523,North America,1976
50524,North America,1976
50525,North America,1976
50526,North America,1976
50527,North America,1976
50528,North America,1976
50529,North America,1976
50530,North America,2000
50531,North America,2000
50536,Oceania,2000
50551,,1999
50552,,2000
50555,North America,1976
50580,Africa,1999
50581,Africa,1999
50582,Africa,1999
50583,Africa,1999
50584,Africa,1999
50585,Africa,1999
50586,Africa,1999
50587,Africa,1999
50588,Africa,1999
50589,Africa,2000
50614,North America,1999
50615,Africa,1956
50625,North America,1999
50626,North America,1990
50628,Asia,2000
50629,Asia,2000
50630,Asia,2000
50631,Asia,2000
50632,Asia,2000
50633,Asia,2000
50634,Asia,2000
50635,Asia,2000
50636,Asia,2000
50637,Asia,2000
50638,Asia,2000
50639,Asia,2000
50640,Asia,2000
50650,South America,1972
50651,South America,1973
50652,South America,1974
50666,Africa,1974
50667,Africa,1974
50668,Africa,1974
50669,Africa,1974
50670,Africa,1974
50671,Africa,1974
50672,Africa,1974
50673,Africa,1974
50674,Africa,1974
50675,Africa,1974
50676,Africa,1974
50752,North America,2002
50753,North America,2002
50754,North America,2002
50755,North America,2002
50756,North America,2002
50757,North America,2002
50758,North America,2002
50759,North America,2002
50760,North America,2002
50761,North America,2002
50762,North America,2002
50763,North America,2002
50769,,1985
50770,,1985
50771,,1985
50772,,1985
50773,,1985
50774,,1985
50775,,1985
50776,,1985
50777,,1985
50778,,1985
50779,,1985
50780,,1985
50781,,1985
50782,,1985
50783,,1985
50784,,1985
50785,,1985
50786,,1985
50787,,1985
50788,,1985
50789,,1985
50790,,1985
50791,,1985
50792,,1985
50793,,1985
50794,,1985
50795,,1985
50796,,1985
50797,,1985
50798,,1985
50950,North America,1987
50952,Africa,2004
50953,Africa,2004
50954,Africa,2004
50955,Africa,2004
50956,Africa,2004
51066,North America,2000
51094,South America,1970
51095,North America,1992
51096,North America,1998
51097,North America,1998
51098,North America,1990
51099,North America,1992
51100,North America,2004
51101,North America,2004
51102,North America,2004
51103,North America,2004
51104,North America,2004
51105,North America,2004
51106,North America,2005
51107,North America,2004
51108,North America,2004
51109,North America,2004
51116,Asia,2005
51117,Asia,2005
51118,Asia,2005
51119,Asia,2005
51120,Asia,2003
51121,Asia,2001
51124,North America,2005
51126,North America,2004
51127,Oceania,1973
51233,South America,2003
51234,South America,2003
51235,South America,2003
51236,South America,2003
51237,South America,2003
51238,South America,2003
51239,South America,2003
51240,South America,2003
51241,South America,2003
51242,South America,2003
51243,South America,2003
51244,North America,2007
51246,North America,1977
51251,North America,2007
51252,North America,2007
51262,South America,2007
51271,,2008
51272,North America,2008
51285,Asia,2007
51286,Asia,2007
51287,Asia,2007
51288,Asia,2007
51289,Asia,2007
51290,Asia,2007
51291,Asia,2007
51292,Asia,2007
51293,Asia,2007
51294,Asia,2007
51295,Asia,2007
51296,Asia,2007
51297,Asia,2007
51298,Asia,2007
51299,Asia,2007
51300,Asia,2007
51301,Asia,2007
51302,Asia,2007
51303,Asia,2007
51304,Asia,2007
51305,Asia,2007
51306,Asia,2007
51307,Asia,2007
51308,Asia,2007
51309,Asia,2007
51310,Asia,2007
51311,Asia,2007
51312,Asia,2007
51313,Asia,2007
51314,Asia,2007
51315,Asia,2007
51316,Asia,2007
51317,Asia,2007
51318,Asia,2007
51319,Asia,2007
51320,Asia,2007
51321,Asia,2007
51322,Asia,2007
51323,Asia,2007
51324,Asia,2007
51325,Asia,2007
51326,Asia,2007
51327,Asia,2007
51328,Asia,2007
51329,Asia,2007
51330,Asia,2007
51331,Asia,2007
51332,Asia,2007
51333,Asia,2007
51334,Asia,2007
51335,Asia,2007
51336,Asia,2007
51337,Asia,2007
51338,Asia,2007
51339,Asia,2007
51340,Asia,2007
51341,Asia,2007
51342,Asia,2007
51343,Asia,2007
51344,Asia,2007
51345,Asia,2007
51346,Asia,2007
51347,Asia,2007
51348,Asia,2007
51349,Asia,2007
51350,Asia,2007
51351,Asia,2007
51352,Asia,2007
51353,Asia,2007
51354,Asia,2007
51355,Asia,2007
51356,Asia,2007
51357,Asia,2007
51358,Asia,2007
51359,Asia,2007
51360,Asia,2007
51361,Asia,2007
51362,Asia,2007
51363,Asia,2007
51364,Asia,2007
51365,Asia,2007
51366,Asia,2007
51367,Asia,2007
51368,Asia,2007
51369,Asia,2007
51370,Asia,2007
51371,Asia,2007
51372,Asia,2007
51373,Asia,2007
51374,Asia,2007
51375,Asia,2007
51376,Asia,2007
51377,Asia,2007
51378,Asia,2007
51379,Asia,2007
51380,Asia,2007
51381,Asia,2007
51382,Asia,2007
51383,Asia,2007
51384,Asia,2007
51385,Asia,2007
51386,Asia,2007
51387,Asia,2007
51388,Asia,2007
51389,Asia,2007
51390,Asia,2007
51391,Asia,2007
51392,Asia,2007
51393,Asia,2007
51394,Asia,2007
51395,Asia,2007
51396,Asia,2007
51397,Asia,2007
51398,Asia,2007
51399,Asia,2007
51400,Asia,2007
51401,Asia,2007
51402,South America,1995
51403,South America,1995
51404,South America,1995
51405,South America,1995
51406,South America,1995
51407,South America,1995
51408,South America,1995
51409,South America,1995
51410,South America,1995
51411,South America,1995
51412,South America,1995
51413,South America,1995
51414,South America,1995
51415,South America,1995
51416,South America,1995
51417,South America,1995
51418,South America,1995
51419,South America,1995
51420,South America,1995
51421,South America,1995
51422,South America,1995
51423,South America,1995
51424,South America,1995
51425,South America,1995
51426,South America,1995
51427,South America,1995
51428,South America,1995
51429,South America,1995
51430,South America,1995
51431,South America,1995
51432,South America,1995
51433,South America,1995
51434,South America,1995
51435,South America,1995
51436,South America,1995
51437,South America,1995
51438,South America,1995
51439,South America,1995
51440,South America,1995
51441,South America,1995
51442,South America,1995
51443,South America,1995
51444,South America,1995
51445,South America,1995
51446,South America,2001
51447,South America,2001
51448,South America,2001
51449,South America,2001
51450,South America,2001
51451,South America,2001
51452,South America,2001
51453,South America,2001
51454,South America,2001
51455,South America,2001
51456,South America,2001
51457,South America,2001
51458,South America,2001
51459,South America,2001
51460,South America,2001
51461,South America,2001
51462,South America,2001
51463,South America,2001
51464,South America,2001
51465,South America,2001
51466,South America,2001
51467,South America,2001
51468,South America,2001
51469,South America,2001
51470,South America,2001
51471,South America,2001
51472,South America,2001
51473,South America,2001
51474,South America,2001
51475,South America,2001
51476,South America,2001
51477,South America,2001
51478,South America,2001
51479,South America,2001
51480,South America,2001
51481,South America,2001
51482,South America,2001
51483,South America,2001
51484,South America,2001
51485,South America,2001
51486,South America,2001
51487,South America,2001
51488,South America,2001
51489,South America,1976
51490,South America,1976
51491,South America,1976
51492,South America,1976
51493,South America,1976
51494,South America,1976
51495,South America,1976
51496,South America,1976
51497,South America,1976
51498,South America,1976
51499,South America,1976
51500,South America,1976
51501,South America,1976
51502,South America,1976
51503,South America,1976
51504,South America,1976
51505,South America,1976
51506,South America,1976
51507,South America,1976
51508,South America,1976
51509,South America,1976
51510,South America,1976
51511,South America,1976
51512,South America,1976
51513,South America,1976
51514,South America,1976
51515,South America,1976
51516,South America,1976
51517,South America,1976
51518,South America,1976
51519,South America,1976
51520,South America,1976
51521,South America,1976
51522,South America,1976
51523,South America,1976
51524,South America,1976
51525,South America,1976
51526,South America,1976
51527,South America,1976
51528,South America,1976
51529,South America,1976
51530,South America,1976
51531,South America,1976
51532,South America,1976
51533,South America,1976
51534,South America,1976
51535,South America,1976
51536,South America,1976
51537,South America,1976
51538,South America,1976
51539,South America,1976
51540,South America,1976
51541,South America,1976
51542,South America,1976
51543,South America,1976
51544,South America,1976
51545,South America,1976
51546,South America,1976
51547,South America,1976
51548,South America,1976
51549,South America,1976
51550,South America,1976
51551,South America,1976
51552,South America,1976
51553,South America,1976
51554,South America,1976
51555,South America,1976
51556,South America,1976
51557,South America,1976
51558,South America,1976
51559,South America,1976
51560,South America,1976
51561,South America,1976
51562,South America,1976
51563,South America,1976
51564,South America,1976
51565,South America,1976
51566,South America,1976
51567,South America,1976
51568,South America,1976
51569,South America,1986
51570,South America,1983
51571,South America,1982
51572,South America,1981
51573,South America,1981
51574,South America,1982
51575,South America,1981
51576,South America,1981
51577,South America,1980
51578,South America,1980
51579,South America,1980
51580,South America,1980
51581,South America,1980
51582,South America,1982
51583,South America,1981
51584,South America,1981
51585,South America,1982
51586,South America,1982
51587,South America,1982
51588,South America,1983
51589,South America,1982
51590,South America,1982
51591,South America,1982
51592,South America,1982
51593,South America,1982
51594,South America,1981
51595,South America,1982
51609,North America,2007
51610,North America,2007
51611,North America,2007
51612,North America,2007
51613,North America,2007
51614,North America,2007
51641,North America,1985
51642,North America,1994
51643,North America,1991
51644,North America,2001
51646,North America,2001
51647,North America,2001
51648,North America,2001
51660,,2008
51662,North America,2007
51678,North America,1984
51689,Africa,2007
51690,Africa,2007
51691,Africa,2007
51692,Africa,2007
51693,Africa,2007
51694,Africa,2007
51695,Africa,2007
51696,Africa,2007
51697,Africa,2008
51698,Africa,2008
51699,Africa,2008
51700,Africa,2008
51701,Africa,2008
51702,Africa,2008
51703,Africa,2006
51704,Africa,2006
51705,Africa,2006
51706,Africa,2006
51707,Africa,2008
51708,Africa,2008
51709,Africa,2008
51723,North America,1988
51724,North America,1988
51725,North America,1988
51726,North America,1988
51727,North America,1988
51728,North America,1988
51729,North America,1988
51730,North America,1988
51731,North America,1988
51732,North America,1988
51733,North America,1988
51734,North America,1988
51735,North America,1988
51736,North America,1988
51737,North America,1988
51738,North America,1988
51739,North America,1988
51740,North America,1988
51741,North America,1988
51742,North America,1988
51743,North America,1988
51744,North America,1988
51745,North America,1988
51746,North America,1988
51747,North America,1988
51748,North America,1988
51749,North America,1988
51750,North America,1988
51751,North America,1988
51752,North America,1988
51753,North America,1988
51754,North America,1988
51755,North America,1988
51756,North America,1988
51757,North America,1988
51758,North America,1988
51760,North America,1978
51761,North America,1978
51762,North America,1979
51783,,1950
51784,,1950
51808,Asia,1967
51809,North America,2008
51834,Asia,1972
51835,North America,1982
51836,North America,2000
51837,North America,2005
51838,North America,2001
51839,North America,2000
51840,North America,1998
51841,North America,2004
51842,North America,1996
51843,North America,1999
51844,North America,1996
51845,North America,1996
51846,North America,1999
51847,North America,2006
51848,North America,1999
51849,North America,1999
51850,North America,1999
51851,North America,1999
51852,North America,1999
51853,North America,1999
51854,North America,1999
51855,North America,1999
51856,North America,1999
51868,Africa,1957
51869,Africa,1956
51870,Asia,1953
51871,Asia,1953
51872,Asia,1953
51873,Asia,1953
51874,Asia,1953
51875,Asia,1953
51876,Asia,1953
51877,Asia,1953
51878,Asia,1953
51879,Asia,1953
51880,,1953
51881,,1953
51882,,1953
51883,,1953
51884,,1953
51885,,1953
51886,,1953
51887,,1953
51888,,1953
51889,,1953
51891,North America,1984
51892,North America,1984
51893,North America,1984
51919,North America,1972
51920,,1968
51921,,1970
51922,,1970
51923,,1972
51924,,1972
51925,,1972
51926,,1966
51927,,1972
51928,,1972
51929,Oceania,1967
51939,South America,1957
51943,Asia,2008
51944,Asia,1985
51945,North America,1976
51946,North America,1980
51947,North America,1973
51948,North America,1980
51949,North America,1978
51950,North America,1975
51951,North America,1980
51952,North America,1980
51953,North America,1979
51954,North America,1974
51955,Asia,1964
51956,Asia,1964
51957,Asia,1964
51958,Asia,1964
51959,Asia,1964
51960,Asia,1964
51961,Asia,1964
51962,Asia,1964
51963,Asia,1964
51964,Asia,1964
51965,Asia,1964
51966,Asia,1964
51967,Asia,1964
51968,Asia,1964
51969,Asia,1970
51970,Asia,1970
51971,Asia,1970
51972,Asia,1970
51973,Asia,1970
51974,Asia,1970
51975,Asia,1970
51976,Asia,1970
51977,Asia,1970
51978,Asia,1970
51979,Asia,1970
51980,Asia,1970
51981,Asia,1970
51982,Asia,1970
51983,Asia,1970
51984,Asia,1970
52018,North America,1958
52019,North America,1961
52031,Asia,1974
52032,Asia,1974
52033,Asia,1974
52034,Asia,1974
52035,Asia,1974
52036,Asia,2009
52038,Asia,2004
52039,Africa,2008
52040,Africa,1978
52041,Africa,1978
52042,Africa,1978
52043,Africa,1978
52044,Africa,1978
52045,Africa,1979
52046,Africa,1979
52047,Africa,1979
52048,Africa,1979
52049,Africa,1979
52073,,1972
52074,,1972
52075,,1972
52076,,1972
52077,,1972
52078,,1972
52079,,1972
52080,,1972
52081,,1972
52107,Africa,1974
52108,Africa,1974
52109,Africa,1975
52110,Africa,1971
52111,Africa,1975
52112,Africa,1974
52113,Africa,1975
52114,Africa,1974
52119,Asia,1972
52120,Asia,1977
52121,Asia,1977
52122,Asia,1979
52123,,1972
52125,Asia,1988
52126,North America,1969
52153,Oceania,1950
52200,North America,1952
52237,North America,1956
52251,Oceania,1956
52261,North America,1957
52263,Oceania,1956
52264,Oceania,1957
52293,Asia,1955
52344,South America,1958
52360,North America,1956
52361,North America,1957
52404,North America,1958
52406,Africa,1953
52444,North America,1956
52455,Asia,1951
52472,,1955
52486,North America,1959
52499,Asia,1960
52536,Oceania,1960
52539,North America,1952
52544,North America,1959
52545,North America,1956
52556,North America,1961
52565,North America,1958
52569,,1961
52594,South America,1960
52608,North America,1961
52613,North America,1958
52622,North America,1957
52623,North America,1961
52624,North America,1961
52625,North America,1961
52628,North America,1950
52629,North America,1961
52631,Asia,1961
52641,Asia,1958
52643,North America,1960
52648,Asia,1960
52663,North America,1962
52665,North America,1962
52674,North America,1951
52675,North America,1957
52676,North America,1958
52677,North America,1958
52691,North America,1962
52702,North America,1962
52733,North America,1957
52745,North America,1963
52747,South America,1963
52752,Asia,1962
52763,North America,1963
52767,Oceania,1963
52770,North America,1964
52775,South America,1963
52783,Asia,1964
52791,South America,1960
52803,North America,1964
52821,Asia,1964
52822,Asia,1961
52827,North America,1962
52834,Africa,1964
52835,Africa,1963
52845,North America,1964
52854,North America,1964
52857,North America,1965
52858,North America,1965
52860,North America,1962
52890,South America,1965
52894,South America,1964
52900,North America,1962
52903,South America,1965
52921,,1964
52951,Africa,1960
52953,Africa,1965
52968,North America,1966
52970,North America,1963
52978,North America,1954
52987,North America,1964
52993,North America,1963
52994,North America,1961
52996,North America,1965
53005,North America,1966
53022,North America,1960
